ERR6913179	Streptococcus sp. Marseille-Q3533	2759692	S	19440	1414	20854	0.03138
ERR6913179	Streptococcus sp. oral taxon 431	712633	S	14464	819	15283	0.02299
ERR6913179	Streptococcus sp. LPB0220	2610896	S	5628	971	6599	0.00993
ERR6913179	Streptococcus sp. oral taxon 061	712623	S	5586	680	6266	0.00943
ERR6913179	Streptococcus sp. Marseille-Q6470	2972784	S	5554	619	6173	0.00929
ERR6913179	Streptococcus sp. HSISM1	1316408	S	5404	884	6288	0.00946
ERR6913179	Streptococcus sp. A12	1759399	S	1665	173	1838	0.00277
ERR6913179	Streptococcus sp. 116-D4	2598453	S	1208	113	1321	0.00199
ERR6913179	Streptococcus sp. FDAARGOS_192	1839799	S	668	353	1021	0.00154
ERR6913179	Streptococcus sp. NPS 308	1902136	S	398	57	455	0.00068
ERR6913179	Streptococcus sp. HSISS2	1316411	S	246	152	398	0.00060
ERR6913179	Streptococcus sp. 1643	2576376	S	187	64	251	0.00038
ERR6913179	Streptococcus sp. HSISS3	1316412	S	145	84	229	0.00034
ERR6913179	Streptococcus sp. HSISS1	1316410	S	75	646	721	0.00108
ERR6913179	Streptococcus sp. oral taxon 064	712624	S	54	38	92	0.00014
ERR6913179	Streptococcus sp. NSJ-72	2763068	S	35	33	68	0.00010
ERR6913179	Streptococcus sp. FDAARGOS_522	2420310	S	17	304	321	0.00048
ERR6913179	Streptococcus sp. HN38	3020829	S	14	5	19	0.00003
ERR6913179	Streptococcus sp. zg-86	2664091	S	12	0	12	0.00002
ERR6913179	Streptococcus sp. KS 6	2598457	S	9	2	11	0.00002
ERR6913179	Streptococcus salivarius	1304	S	53429	10324	63753	0.09592
ERR6913179	Streptococcus parasanguinis	1318	S	22017	2178	24195	0.03640
ERR6913179	Streptococcus mitis	28037	S	7525	942	8467	0.01274
ERR6913179	Streptococcus oralis	1303	S	3784	719	4503	0.00677
ERR6913179	Streptococcus pneumoniae	1313	S	2622	1109	3731	0.00561
ERR6913179	Streptococcus infantis	68892	S	2291	125	2416	0.00363
ERR6913179	Streptococcus thermophilus	1308	S	1655	210	1865	0.00281
ERR6913179	Streptococcus australis	113107	S	1381	332	1713	0.00258
ERR6913179	Streptococcus lactarius	684066	S	1079	32	1111	0.00167
ERR6913179	Streptococcus intermedius	1338	S	451	59	510	0.00077
ERR6913179	Streptococcus constellatus	76860	S	173	375	548	0.00082
ERR6913179	Streptococcus anginosus	1328	S	164	161	325	0.00049
ERR6913179	Streptococcus ilei	1156431	S	800	205	1005	0.00151
ERR6913179	Streptococcus pseudopneumoniae	257758	S	627	103	730	0.00110
ERR6913179	Streptococcus sanguinis	1305	S	606	15	621	0.00093
ERR6913179	Streptococcus gwangjuense	1433513	S	533	90	623	0.00094
ERR6913179	Streptococcus gordonii	1302	S	478	11	489	0.00074
ERR6913179	Streptococcus toyakuensis	2819619	S	469	103	572	0.00086
ERR6913179	Streptococcus rubneri	1234680	S	449	88	537	0.00081
ERR6913179	Streptococcus koreensis	2382163	S	369	113	482	0.00073
ERR6913179	Streptococcus vestibularis	1343	S	337	33	370	0.00056
ERR6913179	Streptococcus cristatus	45634	S	242	11	253	0.00038
ERR6913179	Streptococcus suis	1307	S	174	26	200	0.00030
ERR6913179	Streptococcus agalactiae	1311	S	163	289	452	0.00068
ERR6913179	Streptococcus equi	1336	S	78	2	80	0.00012
ERR6913179	Streptococcus dysgalactiae	1334	S	14	1	15	0.00002
ERR6913179	Streptococcus pyogenes	1314	S	87	2	89	0.00013
ERR6913179	Streptococcus pseudoporcinus	361101	S	49	1	50	0.00008
ERR6913179	Streptococcus milleri	33040	S	42	26	68	0.00010
ERR6913179	Streptococcus acidominimus	1326	S	36	0	36	0.00005
ERR6913179	Streptococcus porcinus	1340	S	34	0	34	0.00005
ERR6913179	Streptococcus pluranimalium	82348	S	34	0	34	0.00005
ERR6913179	Streptococcus iniae	1346	S	33	0	33	0.00005
ERR6913179	Streptococcus parauberis	1348	S	32	0	32	0.00005
ERR6913179	Streptococcus ferus	1345	S	31	0	31	0.00005
ERR6913179	Streptococcus canis	1329	S	31	0	31	0.00005
ERR6913179	Streptococcus mutans	1309	S	30	4	34	0.00005
ERR6913179	Streptococcus respiraculi	2021971	S	30	0	30	0.00005
ERR6913179	Streptococcus himalayensis	1888195	S	29	0	29	0.00004
ERR6913179	Streptococcus oriscaviae	2781599	S	25	0	25	0.00004
ERR6913179	Streptococcus equinus	1335	S	24	1	25	0.00004
ERR6913179	Streptococcus sobrinus	1310	S	23	0	23	0.00003
ERR6913179	Streptococcus marmotae	1825069	S	19	0	19	0.00003
ERR6913179	Streptococcus halotolerans	1814128	S	18	0	18	0.00003
ERR6913179	Streptococcus periodonticum	2490633	S	17	6	23	0.00003
ERR6913179	Streptococcus alactolyticus	29389	S	17	0	17	0.00003
ERR6913179	Streptococcus urinalis	149016	S	15	0	15	0.00002
ERR6913179	Streptococcus parasuis	1501662	S	14	3	17	0.00003
ERR6913179	Streptococcus ratti	1341	S	13	0	13	0.00002
ERR6913179	Streptococcus uberis	1349	S	11	0	11	0.00002
ERR6913179	Streptococcus ruminantium	1917441	S	11	4	15	0.00002
ERR6913179	Streptococcus gallolyticus	315405	S	10	2	12	0.00002
ERR6913179	Streptococcus merionis	400065	S	9	0	9	0.00001
ERR6913179	Streptococcus pantholopis	1811193	S	8	0	8	0.00001
ERR6913179	Streptococcus troglodytae	1111760	S	8	0	8	0.00001
ERR6913179	Streptococcus chenjunshii	2173853	S	7	0	7	0.00001
ERR6913179	Streptococcus pasteurianus	197614	S	7	16	23	0.00003
ERR6913179	Streptococcus infantarius	102684	S	6	1	7	0.00001
ERR6913179	Streptococcus lutetiensis	150055	S	6	1	7	0.00001
ERR6913179	Streptococcus macedonicus	59310	S	5	5	10	0.00002
ERR6913179	Streptococcus halichoeri	254785	S	5	0	5	0.00001
ERR6913179	Lactococcus lactis	1358	S	970	332	1302	0.00196
ERR6913179	Lactococcus cremoris	1359	S	441	124	565	0.00085
ERR6913179	Lactococcus raffinolactis	1366	S	7	0	7	0.00001
ERR6913179	Floricoccus penangensis	1859475	S	6	0	6	0.00001
ERR6913179	Granulicatella adiacens	46124	S	2182	58	2240	0.00337
ERR6913179	Granulicatella elegans	137732	S	41	2	43	0.00006
ERR6913179	Carnobacterium divergens	2748	S	8	0	8	0.00001
ERR6913179	Carnobacterium maltaromaticum	2751	S	5	0	5	0.00001
ERR6913179	Jeotgalibaca dankookensis	708126	S	6	1	7	0.00001
ERR6913179	Dolosigranulum pigrum	29394	S	16	0	16	0.00002
ERR6913179	Marinilactibacillus sp. 15R	1911586	S	6	0	6	0.00001
ERR6913179	Lactobacillus iners	147802	S	16	0	16	0.00002
ERR6913179	Lactobacillus sp. 3B(2020)	2695882	S	5	2	7	0.00001
ERR6913179	Lactobacillus ultunensis	227945	S	6	0	6	0.00001
ERR6913179	Lactobacillus delbrueckii	1584	S	6	2	8	0.00001
ERR6913179	Lactobacillus gasseri	1596	S	6	8	14	0.00002
ERR6913179	Lactobacillus crispatus	47770	S	5	0	5	0.00001
ERR6913179	Leuconostoc mesenteroides	1245	S	11	11	22	0.00003
ERR6913179	Ligilactobacillus salivarius	1624	S	7	0	7	0.00001
ERR6913179	Ligilactobacillus murinus	1622	S	5	3	8	0.00001
ERR6913179	Weissella soli	155866	S	6	2	8	0.00001
ERR6913179	Limosilactobacillus reuteri	1598	S	5	0	5	0.00001
ERR6913179	Lactiplantibacillus plantarum	1590	S	8	6	14	0.00002
ERR6913179	Pediococcus claussenii	187452	S	8	2	10	0.00002
ERR6913179	Apilactobacillus bombintestini	2419772	S	9	0	9	0.00001
ERR6913179	Fructilactobacillus sanfranciscensis	1625	S	5	0	5	0.00001
ERR6913179	Schleiferilactobacillus harbinensis	304207	S	6	0	6	0.00001
ERR6913179	Paucilactobacillus nenjiangensis	1296540	S	5	1	6	0.00001
ERR6913179	Enterococcus faecalis	1351	S	30	11	41	0.00006
ERR6913179	Enterococcus faecium	1352	S	11	14	25	0.00004
ERR6913179	Enterococcus raffinosus	71452	S	10	0	10	0.00002
ERR6913179	Enterococcus cecorum	44008	S	9	0	9	0.00001
ERR6913179	Enterococcus mundtii	53346	S	9	0	9	0.00001
ERR6913179	Enterococcus casseliflavus	37734	S	6	2	8	0.00001
ERR6913179	Enterococcus gilvus	160453	S	6	0	6	0.00001
